[2019-03-21 19:35:51,169: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:35:51,175: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:36:06,194: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:36:06,215: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:36:11,189: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:36:11,201: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:36:21,175: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:36:21,187: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:36:41,226: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:36:51,205: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:36:51,215: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:36:51,251: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:36:51,255: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:36:51,305: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:37:16,235: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:37:21,251: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:37:21,263: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:37:31,205: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:37:31,218: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:37:36,305: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:37:51,266: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:37:51,273: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:37:51,295: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:38:11,226: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:38:11,234: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:38:21,306: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:38:21,310: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:38:21,348: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:38:26,273: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:38:51,249: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:38:51,310: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:38:51,350: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:38:51,358: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:39:01,274: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:39:06,306: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:39:21,315: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:39:21,351: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:39:31,249: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:39:31,359: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:39:36,276: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:39:51,351: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:39:51,358: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:39:51,383: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:40:11,259: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:40:11,359: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:40:11,366: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:40:21,359: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:40:21,366: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:40:36,388: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:40:46,367: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:40:51,370: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:40:51,383: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:40:51,423: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:40:51,442: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:41:21,444: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:41:21,446: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:41:21,452: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:41:21,493: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:41:31,383: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:41:31,450: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:41:51,453: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:41:51,458: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:41:56,452: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:42:06,493: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:42:11,451: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:42:11,463: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:42:21,458: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:42:21,463: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:42:31,453: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:42:51,473: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:42:51,488: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:42:51,505: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:42:51,532: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:42:51,573: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:43:06,459: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:43:21,506: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:43:21,574: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:43:31,533: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:43:31,537: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:43:36,505: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:43:41,459: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:43:51,575: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:43:51,578: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:44:11,547: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:44:11,555: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:44:16,460: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:44:21,579: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:44:21,594: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:44:21,606: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:44:51,467: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:44:51,579: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:44:51,598: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:44:51,611: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:44:51,631: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:45:06,600: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-47-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:45:21,637: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:45:21,643: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:45:26,471: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-45-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:45:31,599: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-geo-every-30-seconds (main.tasks.scaner_acts_follow)
[2019-03-21 19:45:31,612: INFO/MainProcess] Scheduler: Sending due task processing-follow-act-every-46-sec (main.tasks.scaner_acts_add_follow)
[2019-03-21 19:45:51,699: INFO/MainProcess] Scheduler: Sending due task scan-acts-like-every-1-minutes (main.tasks.scaner_acts_like)
[2019-03-21 19:45:51,712: INFO/MainProcess] Scheduler: Sending due task scan-acts-follow-acc-every-30-seconds (main.tasks.scaner_acts_follow)
